Fund Code,Financing Currency,Fund,Reporting Currency,Report Date,Fund SPN,Strategy,Swap Name,Swap Deal Reference,Client Trade Reference,Swap Trade ID,Underlier Type,Underlier Name,ISIN Code,CUSIP Code,Sedol Code,Bloomberg Code,RIC Code,Activity,Trade Type,Trade Activity Type,Trade Date,Effective Date,Termination Date,Long Short Indicator,Synthetic Buy / Sell,Initial Quantity,Underlying Currency,Initial FX Rate,Initial price,Trade Notional,Additional Spread,Long Financing Spread (%),Dividend Distribution %,USI Prefix,USI Value,UTI Prefix,UTI Value,Gross Notional,Gross Price,Gross Price Local,Commission Type,Commission Value,Commission Value in Reporting Currency
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262735,0,20130345_252913038,STK,SOUTHWEST SECURITIES CO LT-A (C1),CNE0000016P6,Y8103U105,BP3R4S8,600369 C1,600369.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-46800,CNY,0.1425354,0.8465274,-39617.48279,-5.45,0,100,1030244641,PAA2XKZ1WQMVD,1030244641,PAA2XKZ1WQMVD,-39668.3998,0.8476154,5.9467,FLAT_AMOUNT,-48.7,-48.7
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262701,0,20130345_252912826,STK,SUNING.COM CO LTD-A (C2),CNE000001KF2,Y82211106,BD5CPK6,002024 C2,002024.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,L,B,113700,CNY,0.1425354,1.526075,173514.7275,0,0.6,90,1030244641,PAA2XKZ1WQMHN,1030244641,PAA2XKZ1WQMHN,173465.509,1.5256421,10.7036,FLAT_AMOUNT,212.97,212.97
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262701,0,20130345_252913257,STK,SUNING.COM CO LTD-A (C2),CNE000001KF2,Y82211106,BD5CPK6,002024 C2,002024.ZK,UNWIND,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,L,S,-113700,CNY,0.1425354,1.5206943,-172902.9408,0,0,0,1030244641,PAA2XKZ1WQMHN,1030244641,PAA2XKZ1WQMHN,-173125.1777,1.5226489,10.6826,FLAT_AMOUNT,-212.56,-212.56
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262663,0,20130345_252912547,STK,SUNWODA ELECTRONIC CO LTD-A (C2),CNE100001260,Y8309D105,BD5CCV6,300207 C2,300207.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,L,B,56100,CNY,0.1425354,3.3180967,186145.226,0,0.6,90,1030244641,PAA2XKZ1WQN0V,1030244641,PAA2XKZ1WQN0V,186092.4269,3.3171556,23.2725,FLAT_AMOUNT,228.48,228.48
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262663,0,20130345_252915087,STK,SUNWODA ELECTRONIC CO LTD-A (C2),CNE100001260,Y8309D105,BD5CCV6,300207 C2,300207.ZK,UNWIND,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,L,S,-56100,CNY,0.1425354,3.15742,-177131.2603,0,0,0,1030244641,PAA2XKZ1WQN0V,1030244641,PAA2XKZ1WQN0V,-177358.9371,3.1614784,22.1803,FLAT_AMOUNT,-217.76,-217.76
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260249,0,20130345_252914668,STK,SUZHOU ANJIE TECHNOLOGY CO-A (C2),CNE1000019B8,Y8319E101,BD5LW13,002635 C2,002635.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-6000,CNY,0.1425354,3.907105,-23442.62976,-11.3,0,100,1030244641,PAA2XKZ1WQN1Q,1030244641,PAA2XKZ1WQN1Q,-23472.7615,3.9121269,27.4467,FLAT_AMOUNT,-28.82,-28.82
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260216,0,20130345_252914923,STK,TAHOE GROUP CO LTD-A (C2),CNE0000005W5,Y8664P107,BD5CLF3,000732 C2,000732.ZK,UNWIND,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,B,6400,CNY,0.1425354,0.9038596,5784.701248,0,0,0,1030244641,PAA2XKZ1WQN3B,1030244641,PAA2XKZ1WQN3B,5783.0611,0.9036033,6.3395,FLAT_AMOUNT,7.1,7.1
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3261041,0,20130345_252912825,STK,TAIJI COMPUTER CORP LTD-A (C2),CNE100000M47,Y83605108,BD5CJL5,002368 C2,002368.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-9900,CNY,0.1425354,5.2229113,-51706.82177,-7.05,0,100,1030244641,PAA2XKZ1W7SXW,1030244641,PAA2XKZ1W7SXW,-51773.2831,5.2296246,36.69,FLAT_AMOUNT,-63.57,-63.57
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262941,0,20130345_252916750,STK,TANGSHAN JIDONG CEMENT INV-A (C2),CNE000000GX5,Y8534M102,BD5CFH3,000401 C2,000401.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-7500,CNY,0.1425354,2.5765792,-19324.34363,-13.2,0,100,1030244641,PAA2XKZ1W780B,1030244641,PAA2XKZ1W780B,-19349.1833,2.5798911,18.1,FLAT_AMOUNT,-23.76,-23.76
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262857,0,20130345_252915380,STK,TBEA CO LTD-A (C1),CNE000000RB8,Y8550D101,BP3R4H7,600089 C1,600089.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-149900,CNY,0.1425354,1.0673872,-160001.3383,-6.9,0,100,1030244641,PAA2XKZ1W74UA,1030244641,PAA2XKZ1W74UA,-160206.9876,1.0687591,7.4982,FLAT_AMOUNT,-196.7,-196.7
